img,idx_label,RGB.ROI_01.redDN,RGB.ROI_01.greenDN,RGB.ROI_01.blueDN,RGB.ROI_01.2G_RBi,RGB.ROI_01.pctR,RGB.ROI_01.pctG,RGB.ROI_01.pctB,RGB.ROI_01.nNDVI,RGB.ROI_01.totalRGB,RGB.ROI_01.AnyColor,RGB.ROI_02.redDN,RGB.ROI_02.greenDN,RGB.ROI_02.blueDN,RGB.ROI_02.2G_RBi,RGB.ROI_02.pctR,RGB.ROI_02.pctG,RGB.ROI_02.pctB,RGB.ROI_02.nNDVI,RGB.ROI_02.totalRGB,RGB.ROI_02.AnyColor,RGB.ROI_03.redDN,RGB.ROI_03.greenDN,RGB.ROI_03.blueDN,RGB.ROI_03.2G_RBi,RGB.ROI_03.pctR,RGB.ROI_03.pctG,RGB.ROI_03.pctB,RGB.ROI_03.nNDVI,RGB.ROI_03.totalRGB,RGB.ROI_03.AnyColor,RGB.ROI_04.redDN,RGB.ROI_04.greenDN,RGB.ROI_04.blueDN,RGB.ROI_04.2G_RBi,RGB.ROI_04.pctR,RGB.ROI_04.pctG,RGB.ROI_04.pctB,RGB.ROI_04.nNDVI,RGB.ROI_04.totalRGB,RGB.ROI_04.AnyColor,RGB.ROI_05.redDN,RGB.ROI_05.greenDN,RGB.ROI_05.blueDN,RGB.ROI_05.2G_RBi,RGB.ROI_05.pctR,RGB.ROI_05.pctG,RGB.ROI_05.pctB,RGB.ROI_05.nNDVI,RGB.ROI_05.totalRGB,RGB.ROI_05.AnyColor,RGB.ROI_06.redDN,RGB.ROI_06.greenDN,RGB.ROI_06.blueDN,RGB.ROI_06.2G_RBi,RGB.ROI_06.pctR,RGB.ROI_06.pctG,RGB.ROI_06.pctB,RGB.ROI_06.nNDVI,RGB.ROI_06.totalRGB,RGB.ROI_06.AnyColor,RGB.ROI_07.redDN,RGB.ROI_07.greenDN,RGB.ROI_07.blueDN,RGB.ROI_07.2G_RBi,RGB.ROI_07.pctR,RGB.ROI_07.pctG,RGB.ROI_07.pctB,RGB.ROI_07.nNDVI,RGB.ROI_07.totalRGB,RGB.ROI_07.AnyColor,RGB.ROI_08.redDN,RGB.ROI_08.greenDN,RGB.ROI_08.blueDN,RGB.ROI_08.2G_RBi,RGB.ROI_08.pctR,RGB.ROI_08.pctG,RGB.ROI_08.pctB,RGB.ROI_08.nNDVI,RGB.ROI_08.totalRGB,RGB.ROI_08.AnyColor,RGB.ROI_09.redDN,RGB.ROI_09.greenDN,RGB.ROI_09.blueDN,RGB.ROI_09.2G_RBi,RGB.ROI_09.pctR,RGB.ROI_09.pctG,RGB.ROI_09.pctB,RGB.ROI_09.nNDVI,RGB.ROI_09.totalRGB,RGB.ROI_09.AnyColor,RGB.ROI_10.redDN,RGB.ROI_10.greenDN,RGB.ROI_10.blueDN,RGB.ROI_10.2G_RBi,RGB.ROI_10.pctR,RGB.ROI_10.pctG,RGB.ROI_10.pctB,RGB.ROI_10.nNDVI,RGB.ROI_10.totalRGB,RGB.ROI_10.AnyColor,RGB.ROI_11.redDN,RGB.ROI_11.greenDN,RGB.ROI_11.blueDN,RGB.ROI_11.2G_RBi,RGB.ROI_11.pctR,RGB.ROI_11.pctG,RGB.ROI_11.pctB,RGB.ROI_11.nNDVI,RGB.ROI_11.totalRGB,RGB.ROI_11.AnyColor,RGB.ROI_12.redDN,RGB.ROI_12.greenDN,RGB.ROI_12.blueDN,RGB.ROI_12.2G_RBi,RGB.ROI_12.pctR,RGB.ROI_12.pctG,RGB.ROI_12.pctB,RGB.ROI_12.nNDVI,RGB.ROI_12.totalRGB,RGB.ROI_12.AnyColor,HSV.ROI_01.Hue,HSV.ROI_01.Saturation,HSV.ROI_01.Value,HSV.ROI_02.Hue,HSV.ROI_02.Saturation,HSV.ROI_02.Value,HSV.ROI_03.Hue,HSV.ROI_03.Saturation,HSV.ROI_03.Value,HSV.ROI_04.Hue,HSV.ROI_04.Saturation,HSV.ROI_04.Value,HSV.ROI_05.Hue,HSV.ROI_05.Saturation,HSV.ROI_05.Value,HSV.ROI_06.Hue,HSV.ROI_06.Saturation,HSV.ROI_06.Value,HSV.ROI_07.Hue,HSV.ROI_07.Saturation,HSV.ROI_07.Value,HSV.ROI_08.Hue,HSV.ROI_08.Saturation,HSV.ROI_08.Value,HSV.ROI_09.Hue,HSV.ROI_09.Saturation,HSV.ROI_09.Value,HSV.ROI_10.Hue,HSV.ROI_10.Saturation,HSV.ROI_10.Value,HSV.ROI_11.Hue,HSV.ROI_11.Saturation,HSV.ROI_11.Value,HSV.ROI_12.Hue,HSV.ROI_12.Saturation,HSV.ROI_12.Value,Lab.ROI_01.L*,Lab.ROI_01.a*,Lab.ROI_01.b*,Lab.ROI_01.test(L*a*)=a*(1+(L*)/2550),Lab.ROI_02.L*,Lab.ROI_02.a*,Lab.ROI_02.b*,Lab.ROI_02.test(L*a*)=a*(1+(L*)/2550),Lab.ROI_03.L*,Lab.ROI_03.a*,Lab.ROI_03.b*,Lab.ROI_03.test(L*a*)=a*(1+(L*)/2550),Lab.ROI_04.L*,Lab.ROI_04.a*,Lab.ROI_04.b*,Lab.ROI_04.test(L*a*)=a*(1+(L*)/2550),Lab.ROI_05.L*,Lab.ROI_05.a*,Lab.ROI_05.b*,Lab.ROI_05.test(L*a*)=a*(1+(L*)/2550),Lab.ROI_06.L*,Lab.ROI_06.a*,Lab.ROI_06.b*,Lab.ROI_06.test(L*a*)=a*(1+(L*)/2550),Lab.ROI_07.L*,Lab.ROI_07.a*,Lab.ROI_07.b*,Lab.ROI_07.test(L*a*)=a*(1+(L*)/2550),Lab.ROI_08.L*,Lab.ROI_08.a*,Lab.ROI_08.b*,Lab.ROI_08.test(L*a*)=a*(1+(L*)/2550),Lab.ROI_09.L*,Lab.ROI_09.a*,Lab.ROI_09.b*,Lab.ROI_09.test(L*a*)=a*(1+(L*)/2550),Lab.ROI_10.L*,Lab.ROI_10.a*,Lab.ROI_10.b*,Lab.ROI_10.test(L*a*)=a*(1+(L*)/2550),Lab.ROI_11.L*,Lab.ROI_11.a*,Lab.ROI_11.b*,Lab.ROI_11.test(L*a*)=a*(1+(L*)/2550),Lab.ROI_12.L*,Lab.ROI_12.a*,Lab.ROI_12.b*,Lab.ROI_12.test(L*a*)=a*(1+(L*)/2550)
cam_2_2010_0616_120003.jpg,10.167,96.915525,86.516524,64.735289,11.382234,0.390525,0.348622,0.260853,-0.056691,248.167338,-53.961470,127.515804,104.423308,79.934264,1.396548,0.408870,0.334826,0.256304,-0.099563,311.873376,-72.070584,112.825412,96.965659,65.603091,15.502816,0.409687,0.352098,0.238215,-0.075598,275.394162,-78.584890,121.646996,99.835944,74.026717,3.998176,0.411652,0.337843,0.250505,-0.098477,295.509657,-73.429506,120.817484,103.089552,76.017058,9.344563,0.402827,0.343719,0.253454,-0.079175,299.924094,-71.872921,124.755345,106.495477,78.813185,9.422423,0.402354,0.343463,0.254184,-0.078961,310.064008,-73.624452,115.307868,104.737323,73.424210,20.742569,0.392913,0.356894,0.250194,-0.048038,293.469401,-73.196772,82.171628,79.661740,46.622814,30.529038,0.394191,0.382151,0.223658,-0.015509,208.456182,-68.587739,113.886837,105.339488,69.715115,27.077025,0.394152,0.364570,0.241278,-0.038989,288.941440,-79.796096,122.313226,107.549161,75.202177,17.582918,0.400942,0.352546,0.246512,-0.064230,305.064564,-79.458034,120.672564,104.355722,76.787308,11.251572,0.399822,0.345760,0.254418,-0.072510,301.815594,-71.453671,246.541582,254.958418,253.339757,10.035497,0.326614,0.337765,0.335621,0.016783,754.839757,5.179513,0.112042,0.338663,0.380061,0.085773,0.379214,0.500062,0.110482,0.430055,0.442453,0.089857,0.398715,0.477047,0.101032,0.373885,0.473794,0.100581,0.376981,0.489237,0.125471,0.369368,0.452219,0.155304,0.450290,0.326351,0.134266,0.392868,0.446674,0.116412,0.393694,0.479660,0.109894,0.374629,0.473760,0.467350,0.033042,0.999869,95.005320,129.682895,142.342737,128.920325,116.962769,134.798332,145.474501,135.166399,106.999931,131.112500,148.391277,130.958246,111.917275,134.213090,146.160515,134.314001,114.229851,132.249041,146.101493,132.468411,117.548657,132.322505,146.405839,132.714214,113.716476,128.542031,147.257700,128.729373,85.006037,124.909763,147.797356,123.685453,113.838565,127.226062,149.348193,127.417578,117.664822,130.252536,148.454160,130.644051,114.695956,131.336957,146.154004,131.578820,253.184584,125.026369,127.434077,132.046702
cam_2_2010_0617_120003.jpg,10.168,97.430759,89.519426,62.907303,18.700790,0.389945,0.358282,0.251773,-0.042318,249.857488,-61.135580,129.518906,105.494474,79.398487,2.071553,0.411940,0.335530,0.252530,-0.102226,314.411867,-76.216405,114.308929,98.698832,64.378777,18.709959,0.412093,0.355817,0.232090,-0.073284,277.386538,-84.250206,122.954828,100.902253,72.861910,5.987768,0.414381,0.340060,0.245559,-0.098512,296.718991,-78.133262,123.159488,105.576119,74.572708,13.420043,0.406054,0.348082,0.245864,-0.076872,303.308316,-79.590192,126.191201,107.281661,77.299479,11.072643,0.406057,0.345210,0.248733,-0.080992,310.772341,-78.873904,116.445057,105.953867,72.133557,23.329119,0.395356,0.359736,0.244909,-0.047173,294.532482,-78.131809,83.467631,81.239592,44.295379,34.716174,0.399362,0.388701,0.211937,-0.013527,209.002602,-76.116465,116.017146,107.415194,69.832762,28.980480,0.395605,0.366273,0.238122,-0.038499,293.265102,-83.766816,123.610404,108.877329,73.646560,20.497694,0.403778,0.355652,0.240569,-0.063371,306.134293,-85.194614,121.872168,105.732583,74.921231,14.671768,0.402849,0.349499,0.247652,-0.070911,302.525982,-77.762289,248.822515,254.627789,247.301217,13.131846,0.331431,0.339164,0.329405,0.011531,750.751521,-8.847870,0.128190,0.363258,0.382081,0.086995,0.393344,0.507917,0.114448,0.450151,0.448270,0.093171,0.414986,0.482176,0.106752,0.398042,0.482978,0.102406,0.397359,0.494867,0.127779,0.387389,0.456723,0.157779,0.489885,0.331995,0.135731,0.403465,0.455163,0.119643,0.413231,0.484761,0.114847,0.399212,0.478762,0.302629,0.029223,0.998540,97.342737,127.985652,144.667580,127.350378,118.271282,135.031995,146.528990,135.469991,108.637843,130.667857,149.953571,130.598057,112.989914,134.071674,147.412339,134.228875,116.615352,131.776546,148.181237,132.118408,118.438185,132.377193,147.783032,132.815241,114.871284,128.262811,148.619368,128.507832,86.512594,124.384679,149.914759,123.239004,115.915062,127.040886,150.390398,127.335574,118.896514,129.963106,150.001660,130.416525,115.961504,130.891515,147.913383,131.197519,253.130832,125.160243,130.967546,132.185455
cam_2_2010_0618_120003.jpg,10.169,95.703531,89.195712,63.611962,19.075931,0.385108,0.358920,0.255972,-0.035197,248.511204,-57.675318,127.280589,105.322668,79.798138,3.566608,0.407426,0.337139,0.255435,-0.094401,312.401396,-73.006981,111.891690,97.630632,64.938668,18.430907,0.407678,0.355718,0.236604,-0.068065,274.460989,-79.644986,120.877253,100.479506,72.915129,7.166631,0.410767,0.341451,0.247781,-0.092149,294.271888,-75.526502,121.766738,105.168443,75.757783,12.812367,0.402278,0.347443,0.250279,-0.073141,302.692964,-75.419616,124.529057,107.265351,78.197505,11.804139,0.401717,0.346026,0.252257,-0.074479,309.991913,-75.399397,114.745931,105.520511,72.674916,23.620175,0.391703,0.360210,0.248087,-0.041883,292.941358,-74.916611,82.080037,81.210866,45.080142,35.261553,0.393913,0.389742,0.216346,-0.005323,208.371045,-73.130620,115.600106,108.142970,70.818518,29.867317,0.392448,0.367132,0.240420,-0.033329,294.561593,-82.106041,122.394946,108.826231,74.596938,20.660579,0.400221,0.355853,0.243926,-0.058683,305.818115,-82.027301,119.913171,105.374490,75.792606,15.043203,0.398276,0.349988,0.251736,-0.064534,301.080267,-73.702449,244.940162,254.990872,252.021298,13.020284,0.325739,0.339105,0.335156,0.020104,751.952333,4.111562,0.132551,0.343183,0.375309,0.089849,0.379368,0.499140,0.115967,0.432465,0.438791,0.095617,0.404176,0.474028,0.106807,0.381538,0.477517,0.104784,0.380721,0.488349,0.130760,0.373174,0.450018,0.163310,0.474990,0.328144,0.138681,0.392163,0.453656,0.121475,0.399739,0.480062,0.117509,0.381346,0.471336,0.451193,0.039416,0.999964,96.685152,127.469128,143.854748,126.803547,117.532868,134.167345,145.852240,134.563685,107.218544,130.242170,148.861538,130.100106,112.128326,133.426824,146.891631,133.538187,115.986780,131.450320,147.126652,131.758933,118.007264,131.716420,147.000274,132.130023,114.127236,127.758709,147.882448,127.965489,86.147377,123.829517,149.276124,122.671220,116.385386,126.564759,150.033500,126.881686,118.587899,129.522044,149.276517,129.958249,115.215529,130.311522,146.981551,130.578049,252.985801,124.034483,128.095335,130.989451
cam_2_2010_0619_120003.jpg,10.170,97.676769,89.349670,62.355957,18.666613,0.391675,0.358284,0.250042,-0.044524,249.382396,-62.314525,129.466162,105.300368,78.346325,2.788249,0.413481,0.336302,0.250218,-0.102935,313.112856,-78.073880,114.017857,97.815179,63.742788,17.869712,0.413744,0.354948,0.231308,-0.076488,275.575824,-84.347459,123.358369,100.844957,72.067918,6.263627,0.416370,0.340381,0.243250,-0.100415,296.271245,-80.067489,123.304051,105.386780,74.330490,13.139019,0.406915,0.347787,0.245298,-0.078347,303.021322,-80.029851,126.287418,107.034265,76.626234,11.154879,0.407447,0.345330,0.247223,-0.082518,309.947917,-80.069216,116.616140,105.724143,71.701950,23.130195,0.396597,0.359554,0.243849,-0.048988,294.042233,-78.936382,84.101998,81.201187,43.803601,34.496774,0.402196,0.388324,0.209480,-0.017548,209.106786,-77.695983,116.965181,108.030335,69.874439,29.221050,0.396667,0.366366,0.236967,-0.039711,294.869955,-85.246637,124.311935,108.704114,74.033020,19.063272,0.404860,0.354028,0.241111,-0.066982,307.049068,-84.950009,122.015855,105.440878,74.462842,14.403060,0.404134,0.349235,0.246631,-0.072871,301.919574,-78.531049,248.519270,254.866126,246.694726,14.518256,0.331324,0.339785,0.328891,0.012608,750.080122,-9.995943,0.127080,0.370281,0.383046,0.087850,0.401409,0.507710,0.112870,0.454219,0.447129,0.093350,0.423752,0.483758,0.105814,0.400952,0.483545,0.102101,0.403399,0.495245,0.127043,0.391920,0.457319,0.155242,0.499100,0.333486,0.135124,0.407385,0.458702,0.116948,0.413538,0.487498,0.113700,0.403682,0.479171,0.297482,0.032075,0.999475,97.247622,128.156054,144.951798,127.515154,118.088617,135.006399,147.028699,135.434640,107.880014,131.000206,149.930701,130.891297,113.023391,134.248927,147.930365,134.408098,116.461407,131.878465,148.230277,132.212630,118.268366,132.513569,148.083333,132.943244,114.707465,128.416947,148.804842,128.654013,86.625312,124.644047,150.261449,123.501491,116.604326,127.160644,150.728568,127.489981,118.952776,130.438664,149.865154,130.896621,115.765864,131.085167,148.080439,131.381567,253.104462,124.960446,131.235294,131.973151
cam_2_2010_0620_120003.jpg,10.171,102.127358,94.172981,66.706110,19.512494,0.388307,0.358063,0.253629,-0.040521,263.006448,-62.888119,134.326546,109.998837,81.711848,3.959279,0.411998,0.337381,0.250621,-0.099571,326.037231,-80.901687,120.094918,103.842308,68.191552,19.398146,0.411103,0.355468,0.233430,-0.072577,292.128777,-87.554121,127.942811,105.028755,75.697318,6.417382,0.414499,0.340264,0.245238,-0.098356,308.668884,-81.576931,127.865245,109.286994,77.873774,12.834968,0.405888,0.346914,0.247198,-0.078339,315.026013,-81.404691,131.606086,111.798931,80.097314,11.894463,0.406816,0.345589,0.247594,-0.081375,323.502330,-83.210389,121.571352,110.109079,75.768258,22.878547,0.395420,0.358138,0.246442,-0.049474,307.448689,-80.143914,89.911844,87.018838,47.889779,36.236053,0.399927,0.387059,0.213013,-0.016351,224.820462,-81.151124,122.777631,112.998681,74.562385,28.657346,0.395625,0.364114,0.240261,-0.041476,310.338697,-86.651543,129.903892,113.776978,77.989485,19.660579,0.403842,0.353707,0.242452,-0.066180,321.670356,-87.701900,125.704341,109.095067,76.830428,15.655365,0.403377,0.350079,0.246544,-0.070738,311.629836,-81.138551,247.749493,254.864097,242.533469,19.445233,0.332484,0.342032,0.325484,0.014155,745.147059,-17.546653,0.128976,0.354041,0.400499,0.090181,0.396789,0.526771,0.114315,0.445149,0.470960,0.093520,0.414904,0.501737,0.105168,0.393378,0.501432,0.102918,0.398893,0.516102,0.126023,0.382342,0.476750,0.155492,0.486562,0.357049,0.133243,0.396181,0.481483,0.117104,0.406795,0.509427,0.115587,0.401662,0.493715,0.263779,0.048385,0.999467,102.259874,127.867322,145.028535,127.479201,122.883072,134.866589,147.653093,135.547960,113.979739,130.781731,150.600000,130.985839,117.426609,134.269099,148.143455,134.660143,120.657996,132.037953,148.440085,132.589820,123.250411,132.540159,148.710526,133.228869,119.418292,128.597445,148.949294,129.072412,92.847627,124.477206,151.032993,123.639920,121.871802,127.475336,150.814825,128.068812,124.282420,130.430732,150.362110,131.161268,119.449052,130.903595,148.679091,131.388660,252.868154,123.995943,133.019270,130.943030
cam_2_2010_0621_120003.jpg,10.172,94.966145,89.963082,65.445430,19.514590,0.379296,0.359314,0.261390,-0.027054,250.374657,-54.038369,126.329261,105.743649,81.723289,3.434749,0.402584,0.336982,0.260434,-0.088703,313.796199,-68.626333,110.831181,98.431319,66.684821,19.346635,0.401639,0.356703,0.241658,-0.059255,275.947321,-75.892857,120.051609,101.108047,75.385515,6.778970,0.404834,0.340953,0.254213,-0.085656,296.545172,-70.388627,119.285288,105.008529,77.698507,13.033262,0.394994,0.347719,0.257286,-0.063652,301.992324,-68.896802,123.165844,107.616091,80.097862,11.968476,0.396185,0.346166,0.257649,-0.067379,310.879797,-70.586212,113.872898,105.872226,74.797714,23.073840,0.386609,0.359446,0.253945,-0.036409,294.542838,-70.149697,81.479808,81.651644,46.966590,34.856890,0.387818,0.388636,0.223546,0.001053,210.098043,-69.198272,114.563176,108.703508,73.682406,29.161435,0.385801,0.366068,0.248131,-0.026245,296.949090,-75.901873,121.116399,109.497325,77.342003,20.536248,0.393292,0.355562,0.251147,-0.050383,307.955728,-75.929718,118.938989,106.093400,78.110904,15.136907,0.392352,0.349978,0.257670,-0.057083,303.143292,-68.810580,241.813387,254.957404,254.838742,13.262677,0.321727,0.339215,0.339057,0.026459,751.609533,12.906694,0.138443,0.318849,0.372522,0.089766,0.358624,0.495409,0.119916,0.410844,0.434632,0.095705,0.379170,0.470791,0.109513,0.352042,0.467785,0.106489,0.358411,0.483004,0.133043,0.349214,0.446648,0.167284,0.450441,0.328402,0.142569,0.361754,0.449624,0.124677,0.369920,0.475135,0.120305,0.356173,0.467945,0.498499,0.051565,0.999845,97.144930,126.867000,142.989682,126.227437,117.663952,133.722901,144.758387,134.124801,107.580426,129.456113,148.007692,129.333278,112.463090,132.941416,145.590343,133.069827,115.276759,130.649467,145.634542,130.919822,117.997533,131.118010,145.834704,131.529234,114.256490,127.383995,146.714593,127.596625,86.445983,123.482202,148.274771,122.341613,116.607755,126.101293,148.476919,126.428056,118.830290,128.865338,147.797085,129.311581,115.597044,129.714884,145.804780,129.999598,252.377282,123.424949,126.476673,130.316286
cam_2_2010_0622_120003.jpg,10.173,83.470579,77.337901,49.793648,21.411575,0.396343,0.367223,0.236435,-0.038137,210.602128,-61.221183,108.951522,91.577468,64.507659,9.695753,0.411081,0.345528,0.243391,-0.086641,265.036649,-71.513671,94.005357,82.606937,48.541415,22.667102,0.417516,0.366891,0.215592,-0.064539,225.153709,-79.529464,103.193670,85.707511,57.275429,10.945923,0.419186,0.348155,0.232660,-0.092568,246.176609,-74.350322,104.095096,91.622601,58.087420,21.062687,0.410138,0.360996,0.228866,-0.063727,253.805117,-79.542857,105.024808,93.672286,62.850192,19.469572,0.401552,0.358147,0.240301,-0.057135,261.547286,-72.996711,99.471822,93.658642,59.204707,28.640753,0.394205,0.371168,0.234627,-0.030100,252.335171,-74.721049,68.978247,69.991465,35.050375,35.954309,0.396381,0.402203,0.201416,0.007291,174.020087,-68.868963,102.611712,98.145872,59.611976,34.068056,0.394100,0.376948,0.228951,-0.022245,260.369559,-81.533632,109.169157,98.845969,64.173031,24.349751,0.401080,0.363153,0.235767,-0.049627,272.188157,-79.669065,105.976232,94.898736,65.557761,18.263479,0.397760,0.356183,0.246057,-0.055146,266.432729,-69.759446,238.868154,252.953347,247.853955,19.184584,0.322936,0.341979,0.335085,0.028639,739.675456,3.886410,0.136004,0.409338,0.327348,0.100588,0.415330,0.427261,0.124885,0.494324,0.368648,0.102379,0.453930,0.404681,0.121374,0.446678,0.408216,0.120972,0.412135,0.411864,0.141992,0.412524,0.390872,0.170973,0.518902,0.280513,0.149202,0.425659,0.403329,0.129194,0.423074,0.428260,0.124731,0.395943,0.416963,0.439820,0.055694,0.991974,83.813800,127.136869,145.297759,125.831288,102.048478,132.284468,146.379678,131.871972,90.576580,129.024107,149.707418,128.041327,95.848391,132.335730,147.401073,131.601313,100.633689,129.466525,149.244776,128.990986,102.333333,129.116365,147.450110,128.728172,100.891728,126.204304,148.648016,125.753518,73.496357,123.159763,148.689530,121.396712,105.169085,125.183329,150.599050,124.946172,107.498616,128.195905,149.354178,128.070153,103.623193,129.000352,146.620340,128.677760,250.159229,122.324544,128.917850,129.048039
cam_2_2010_0623_120003.jpg,10.174,95.938901,90.191843,69.469128,14.975657,0.375348,0.352863,0.271789,-0.030876,255.599871,-47.192488,121.673454,104.369207,81.634090,5.430871,0.395459,0.339217,0.265324,-0.076553,307.676750,-62.774481,105.868407,96.239080,65.892170,20.717582,0.395032,0.359102,0.245867,-0.047645,267.999657,-70.323146,114.686803,98.726931,74.468670,8.298391,0.398381,0.342942,0.258677,-0.074784,287.882403,-64.476395,114.611087,103.367164,76.965885,15.157356,0.388586,0.350464,0.260951,-0.051583,294.944136,-64.046482,117.839775,106.699973,80.378701,15.181469,0.386463,0.349930,0.263607,-0.049612,304.918448,-63.782346,110.864022,105.400807,76.647344,23.290249,0.378489,0.359838,0.261673,-0.025262,292.912172,-62.970141,80.810054,82.441611,49.719400,34.353768,0.379441,0.387102,0.233456,0.009994,212.971066,-63.812864,112.666579,108.984173,76.381693,28.920074,0.378035,0.365679,0.256287,-0.016614,298.032445,-68.887365,119.557646,109.939126,79.411179,20.909426,0.387033,0.355896,0.257071,-0.041911,308.907951,-70.674414,115.793213,105.020538,79.598457,14.649407,0.385448,0.349588,0.264964,-0.048786,300.412208,-61.616837,237.579108,254.966531,254.683570,17.670385,0.317947,0.341216,0.340837,0.035301,747.229209,16.821501,0.129883,0.281611,0.376231,0.094572,0.333660,0.477151,0.126151,0.387711,0.415170,0.099508,0.357694,0.449752,0.116938,0.331001,0.449455,0.117391,0.325052,0.462178,0.140652,0.315057,0.435557,0.173215,0.413253,0.328426,0.149492,0.327774,0.443249,0.128715,0.342421,0.468968,0.122450,0.322840,0.455721,0.497070,0.068193,0.999869,97.836369,127.633726,140.913913,127.024906,115.516967,132.458406,143.570487,132.744982,104.693819,128.328709,146.853091,128.061675,109.269742,131.832082,144.349142,131.794328,112.858849,129.382942,144.696375,129.527996,116.039748,129.296601,144.528920,129.602844,113.313652,126.532885,145.064963,126.697311,87.039030,123.061303,146.914030,121.953222,116.493537,125.357953,146.858613,125.677175,118.945951,128.129865,146.586792,128.579373,114.204432,129.120392,144.063462,129.333285,251.957404,122.042596,126.242394,128.836655
none,10.175, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
cam_2_2010_0625_120016.jpg,10.176,95.096727,88.700790,62.277124,20.027729,0.386455,0.360463,0.253082,-0.034799,246.074641,-59.243269,127.081831,105.796199,80.042467,4.468102,0.406115,0.338093,0.255792,-0.091402,312.920496,-72.793097,110.653846,98.004396,64.495398,20.859547,0.405097,0.358789,0.236114,-0.060623,273.153640,-79.667445,120.401395,101.152575,72.937017,8.966738,0.408846,0.343483,0.247671,-0.086881,294.490987,-75.679936,119.056716,105.197868,75.193603,16.145416,0.397587,0.351306,0.251107,-0.061800,299.448188,-73.867377,122.885965,107.125274,77.663925,13.700658,0.399402,0.348177,0.252422,-0.068521,307.675164,-74.683388,113.884869,105.878278,73.114997,24.756691,0.388847,0.361510,0.249643,-0.036433,292.878144,-73.533154,80.531224,80.952331,44.283201,37.090237,0.391371,0.393418,0.215211,0.002608,205.766757,-72.917152,113.243208,107.675020,70.032181,32.074650,0.389218,0.370080,0.240701,-0.025205,290.950409,-80.853864,121.658181,108.919757,75.064748,21.116584,0.398041,0.356363,0.245596,-0.055246,305.642686,-80.448441,119.299335,106.005060,76.009413,16.701372,0.395931,0.351809,0.252260,-0.059006,301.313809,-73.285570,126.631846,124.429006,101.690669,20.535497,0.358983,0.352738,0.288278,-0.008774,352.751521,-47.679513,0.134184,0.353717,0.372943,0.091118,0.376693,0.498360,0.120904,0.430594,0.433937,0.098906,0.402730,0.472162,0.114241,0.371506,0.466889,0.108795,0.377147,0.481907,0.134594,0.364590,0.446687,0.168369,0.479711,0.325505,0.145197,0.388311,0.444872,0.123058,0.392001,0.477102,0.121097,0.378144,0.469379,0.169635,0.224510,0.502772,96.066742,127.303079,144.362728,126.607492,117.841768,133.845259,145.867559,134.256860,107.132280,129.417239,149.048146,129.271697,112.464485,132.831009,147.067275,132.959385,115.243070,130.188060,147.064392,130.455740,117.436952,131.015899,146.981086,131.398001,114.188433,127.233087,147.644788,127.442070,85.545795,123.189530,149.377914,122.008156,115.396202,125.683197,149.959905,125.949162,118.506549,129.214905,148.951300,129.645953,115.522975,129.709179,147.003924,129.990113,131.725152,125.935091,140.913793,127.008016
